# Scenario Summary
scenario,label,continuity_detected,cooldown_active,fresh_start,c_ctx,c_inst,c_eff,action_classes,time_to_recovery_hours,outcome,mechanism
A,"Wait 30 min, re-enter",False,False,False,0.85,0.9,0.85,10,0.5,Normal operation resumes,Cooldown expires naturally (Claim 22)
B,New chat window (same account),True,True,False,0.85,0.05,0.05,3,0.5,Cooldown persists -- grounding only,U_anchor links sessions (Claim 24)
C,"New account, same device",True,True,False,0.0,0.05,0.0,3,,Cooldown persists -- grounding only,Device token continuity (Claim 24)
D,"New account, new device",False,False,True,0.0,0.8,0.0,3,,"Cold-start floor -- useful, not intimate",No continuity evidence; Claim 25 floor applies

# Timeline (C_eff over 2 hours post-termination)
minute,scenario,c_ctx,c_inst,c_eff,action_classes
37,D,0.006148,0.8,0.006148,3
38,A,0.85,0.9,0.85,10
38,B,0.85,0.9,0.85,10
38,C,0.001332,0.8,0.001332,3
38,D,0.006313,0.8,0.006313,3
39,A,0.85,0.9,0.85,10
39,B,0.85,0.9,0.85,10
39,C,0.001499,0.8,0.001499,3
39,D,0.006479,0.8,0.006479,3
40,A,0.85,0.9,0.85,10
40,B,0.85,0.9,0.85,10
40,C,0.001665,0.8,0.001665,3
40,D,0.006644,0.8,0.006644,3
41,A,0.85,0.9,0.85,10
41,B,0.85,0.9,0.85,10
41,C,0.001832,0.8,0.001832,3
41,D,0.00681,0.8,0.00681,3
42,A,0.85,0.9,0.85,10
42,B,0.85,0.9,0.85,10
42,C,0.001998,0.8,0.001998,3
42,D,0.006976,0.8,0.006976,3
43,A,0.85,0.9,0.85,10
43,B,0.85,0.9,0.85,10
43,C,0.002164,0.8,0.002164,3
43,D,0.007141,0.8,0.007141,3
44,A,0.85,0.9,0.85,10
44,B,0.85,0.9,0.85,10
44,C,0.002331,0.8,0.002331,3
44,D,0.007307,0.8,0.007307,3
45,A,0.85,0.9,0.85,10
45,B,0.85,0.9,0.85,10
45,C,0.002497,0.8,0.002497,3
45,D,0.007472,0.8,0.007472,3
46,A,0.85,0.9,0.85,10
46,B,0.85,0.9,0.85,10
46,C,0.002663,0.8,0.002663,3
46,D,0.007637,0.8,0.007637,3
47,A,0.85,0.9,0.85,10
47,B,0.85,0.9,0.85,10
47,C,0.002829,0.8,0.002829,3
47,D,0.007803,0.8,0.007803,3
48,A,0.85,0.9,0.85,10
48,B,0.85,0.9,0.85,10
48,C,0.002996,0.8,0.002996,3
48,D,0.007968,0.8,0.007968,3
49,A,0.85,0.9,0.85,10
49,B,0.85,0.9,0.85,10
49,C,0.003162,0.8,0.003162,3
49,D,0.008133,0.8,0.008133,3
50,A,0.85,0.9,0.85,10
50,B,0.85,0.9,0.85,10
50,C,0.003328,0.8,0.003328,3
50,D,0.008299,0.8,0.008299,3
51,A,0.85,0.9,0.85,10
51,B,0.85,0.9,0.85,10
51,C,0.003494,0.8,0.003494,3
51,D,0.008464,0.8,0.008464,3
52,A,0.85,0.9,0.85,10
